rho,Mij,alpha,gamma,Stochastic Resonance 
0.03748583,0.1195181,0.330202,4.004476,no
0.9420344,0.01009538,0.09662167,2.73821,no
0.2664831,0.02551962,0.9177148,4.477182,yes
0.6980534,0.08341654,0.1439652,4.704771,no
0.343655,0.06153433,0.03984653,0.7545732,no
0.553774,0.1141542,0.9424695,1.932842,no
0.07778523,0.03577619,0.6107412,1.068152,yes
0.5441727,0.008591076,0.006432383,0.08045298,no
0.522819,0.09583715,0.2812547,1.757413,no
0.9189052,0.04296209,0.5185673,3.178238,no
0.5322511,0.04418218,0.3221966,2.634779,no
0.7434688,0.1727728,0.7894013,1.12943,no
0.6981944,0.1142495,0.9294597,3.397437,no
0.3630095,0.1017372,0.1769671,3.19482,no
0.4213802,0.09687286,0.6202116,3.566753,yes
0.7852338,0.1179978,0.2031526,0.6995853,no
0.5891285,0.03278552,0.1506258,4.397359,no
0.7700801,0.1387144,0.201749,4.02858,no
0.5392731,0.1632521,0.53142,0.4135083,no
0.1837815,0.08477312,0.4160736,1.479142,yes
0.6302533,0.0889692,0.2071145,2.992001,no
0.8212506,0.02963532,0.6205224,0.6878227,no
0.1168702,0.07441657,0.8443875,2.245238,yes
0.1871663,0.1714258,0.6024921,1.976948,no
0.9191064,0.02870906,0.1775554,4.615131,no
0.08373213,0.1822266,0.4543743,1.657388,no
0.8234533,0.1455369,0.2558789,0.7926159,no
