"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"115",24,20,47,91,43,25,85,92,95,10,5,34,31,23,39,5,5,3,2,4,2,2,2,4,2,3,4,2,2,4,3,2,2,3,4,3,4,2,2,2,2,3,2,2,2,2,4,3,7,0.232760764771747
"116",18,19,31,68,50,50,124,116,117,3,6,27,7,9,38,2,3,17,7,3,3,4,6,7,2,5,4,3,3,6,2,5,2,6,6,3,5,2,3,6,2,3,6,2,5,3,4,5,9,0.416703456333198
"117",17,18,36,71,51,42,115,110,110,7,7,11,2,12,28,9,5,13,4,6,3,2,4,6,2,5,5,5,3,6,2,5,5,4,3,3,4,4,2,4,4,3,4,2,4,3,6,5,10,0.702869454142095
"118",18,14,37,69,52,32,92,96,90,2,3,30,18,3,38,9,5,7,5,4,2,2,2,6,2,3,3,3,2,3,2,4,6,5,2,5,6,2,2,4,2,3,2,4,2,3,4,2,7,1.49311527436721
"119",13,14,26,53,69,35,97,99,78,17,9,32,28,36,36,0,2,4,2,3,6,2,4,4,2,2,3,5,2,4,3,3,2,6,3,4,2,5,2,2,4,3,2,2,4,2,3,2,6,1.05930208278532
"120",18,24,31,73,42,36,99,100,84,10,4,14,11,5,34,1,5,6,3,4,2,5,2,5,2,2,2,4,2,4,2,3,6,6,2,2,5,2,2,2,2,2,3,5,2,3,7,1,8,1.72725734835973
"121",14,25,30,69,59,47,124,116,137,6,4,15,15,9,38,10,4,2,4,2,4,2,2,4,2,3,4,5,2,3,3,3,3,4,2,2,2,3,2,3,2,4,5,3,4,3,2,3,7,0.954052458827731
"122",20,11,26,57,61,43,111,108,91,12,8,39,27,42,39,6,3,2,3,2,5,3,2,2,2,3,4,4,2,4,3,3,5,2,2,2,2,2,2,3,3,3,2,2,2,2,3,3,7,0.271836083401975
"123",21,14,34,69,65,26,81,89,95,15,8,30,25,18,38,4,2,12,5,4,5,4,2,6,4,2,3,4,2,4,2,4,2,5,6,4,6,2,2,4,2,3,2,4,5,2,4,1,8,0.562295541689224
"124",23,33,50,106,51,33,99,100,76,13,3,12,11,8,31,0,5,3,4,2,3,2,4,4,2,6,4,2,5,6,5,4,3,3,2,3,2,4,2,4,2,2,3,2,2,2,6,11,9,0.697416401518874
"125",18,25,44,87,67,20,76,86,93,12,8,18,9,9,39,6,5,8,6,3,4,2,4,4,2,3,4,3,2,4,2,4,2,5,3,4,4,2,2,4,2,2,4,2,2,2,3,2,7,0.261955132289578
"126",17,8,33,58,75,48,120,114,127,11,8,27,22,21,36,4,5,8,5,4,6,2,3,5,2,6,4,3,4,4,2,4,5,6,2,4,5,4,2,4,4,2,2,3,2,2,4,7,8,0.715973498082645
"127",15,16,30,61,70,48,120,114,116,12,5,33,23,18,37,9,2,5,2,2,2,2,2,4,2,4,5,3,4,6,4,2,2,5,4,3,3,2,2,2,3,3,2,4,2,2,5,7,12,0.111197299016419
"128",11,18,28,57,51,37,106,105,108,10,7,22,14,22,36,5,5,4,4,2,2,2,2,4,2,2,3,2,2,2,4,3,2,4,2,3,4,2,2,2,4,4,2,2,2,2,2,3,4,0.297816525520867
"129",21,12,40,73,50,31,90,95,97,15,4,36,23,16,36,2,5,4,6,3,5,2,2,5,3,4,4,2,4,3,4,3,4,5,2,4,5,2,3,4,2,3,2,2,2,3,2,7,6,0.149615413759797
"130",14,28,40,82,60,41,113,109,110,11,5,29,23,26,39,5,4,1,4,3,2,4,2,5,4,2,2,4,3,2,3,4,2,3,2,2,2,2,3,4,2,3,4,3,4,3,2,3,4,0.218556569180416
"131",22,19,34,75,55,48,120,114,121,7,7,24,12,3,34,7,5,1,5,3,4,2,4,4,2,4,4,2,2,3,2,4,6,4,4,2,4,3,2,4,2,2,3,2,4,2,4,3,6,0.710132559991582
"132",25,21,45,91,55,43,117,112,118,7,7,22,25,12,36,9,5,1,2,4,2,2,4,4,2,2,4,2,2,4,2,2,2,3,2,2,4,2,2,2,2,4,3,3,2,2,4,1,8,1.02992328428398
"133",21,22,39,82,58,40,111,108,79,10,4,17,4,2,36,9,5,5,2,3,3,3,2,5,2,2,2,4,2,2,3,2,2,6,3,4,2,2,2,2,2,2,4,3,2,2,4,2,4,0.480598606832922
"134",16,17,39,72,42,44,113,109,110,5,6,15,7,2,31,4,4,2,2,2,2,2,2,5,2,2,3,3,2,4,2,2,2,2,2,2,2,2,2,2,3,2,4,2,4,2,3,1,6,0.508963514644527
"135",21,18,40,79,41,32,92,96,93,6,6,16,16,4,31,3,5,1,2,2,2,2,2,4,4,4,3,2,4,3,3,2,3,4,5,4,2,3,3,2,2,2,3,2,4,2,4,6,5,0.930995642377324
"136",16,16,32,64,68,49,122,115,95,15,6,28,18,12,39,7,4,18,5,4,6,4,4,6,2,3,5,6,4,5,2,5,6,5,5,2,6,2,3,5,3,4,3,5,2,4,5,4,12,0.503979893041816
"137",15,17,34,66,55,41,113,109,85,10,5,31,34,30,37,6,2,10,5,2,2,2,2,7,3,2,4,2,4,6,4,4,2,5,7,4,6,2,4,2,3,3,5,2,2,4,7,5,9,0.576946174864231
"138",20,15,35,70,55,37,106,105,110,11,9,30,31,19,34,2,5,13,5,2,4,2,2,6,2,5,3,2,4,3,2,4,2,6,5,6,6,2,3,4,2,4,2,2,2,2,6,6,5,0.353994900127034
"139",24,14,43,81,57,35,103,103,108,9,6,11,12,6,25,2,5,5,7,7,6,4,5,3,4,2,2,4,2,2,2,5,2,4,5,3,3,2,3,5,3,6,4,6,4,5,3,1,7,0.671939626715581
"140",10,9,27,46,90,48,126,117,126,13,9,36,21,33,39,9,5,9,5,3,8,2,3,2,2,2,3,2,2,6,6,4,2,5,6,4,5,5,2,6,2,4,3,3,2,5,3,5,9,0.428795622082442
"141",20,24,43,87,40,27,83,90,67,9,1,23,10,6,35,5,4,6,4,2,4,2,2,6,2,3,4,4,2,3,2,4,3,5,2,4,2,3,3,4,3,2,4,3,2,2,6,2,7,0.899122246957424
"142",19,18,34,71,58,48,126,117,106,16,9,35,31,38,39,7,4,2,3,3,4,2,2,2,2,2,3,4,2,4,2,2,2,3,3,2,3,2,2,3,2,2,3,3,2,2,2,1,7,0.412256910480051
"143",14,17,34,65,73,39,110,107,95,10,7,36,17,16,39,6,5,5,4,3,5,4,2,4,2,3,2,4,3,2,3,4,2,4,2,3,2,2,4,4,2,3,2,3,2,2,2,4,4,0.566409198202025
"144",14,18,27,59,63,43,117,112,99,11,8,27,14,17,39,8,1,7,4,2,5,2,2,4,2,2,3,3,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,3,2,2,4,1,5,0.262880087336774
"145",17,14,34,65,66,44,113,109,117,14,7,32,28,16,39,8,2,3,5,5,6,2,2,5,2,4,4,5,3,4,4,4,3,6,5,5,4,3,2,4,2,4,3,4,2,2,4,6,9,0.785800548901751
"146",14,21,22,57,70,32,94,97,95,13,8,25,20,13,21,4,5,9,4,3,5,2,2,4,3,2,3,4,2,5,2,3,4,5,4,2,5,2,2,4,2,2,2,2,2,3,4,1,7,1.05463416856798
"147",28,29,51,108,44,47,124,116,88,12,4,34,18,8,34,6,4,9,5,2,6,3,4,4,2,2,5,2,2,6,2,4,2,4,2,2,6,2,2,5,2,2,2,2,2,2,5,1,10,0.364864810542695
"148",23,15,29,67,73,34,101,102,97,11,8,30,33,36,36,7,4,6,6,4,3,2,2,4,2,5,4,3,2,4,3,2,2,5,2,4,2,4,2,5,2,3,3,3,2,2,4,5,8,0.539563532355591
"149",20,15,42,77,70,44,119,113,97,8,6,30,15,6,36,5,5,8,2,5,2,2,2,4,2,4,2,5,2,3,3,3,3,4,4,3,4,4,2,2,2,4,6,4,2,2,3,4,6,2.73939063531325
"150",21,20,31,72,55,41,113,109,76,10,7,23,15,9,32,3,5,6,7,4,4,2,2,7,2,4,4,4,5,5,3,4,4,5,3,4,4,5,3,4,4,4,2,2,2,2,5,7,8,0.247431421175199
